# Range : 0-10^4 ms
# Columns : number, T_i (ms)
1,274.414
2,274.576
3,274.321
4,274.064
5,274.535
6,273.976
7,273.694
8,273.821
9,273.784
10,273.993
11,273.358
12,273.466
13,274.188
14,274.120
15,274.151
16,274.366
17,274.267
18,274.019
19,274.118
20,273.799
21,273.800
22,273.931
23,273.866
24,274.101
25,274.062
26,273.834
27,273.917
28,274.297
29,274.151
30,274.252
31,273.511
32,273.556
33,273.831
34,273.597
35,273.482
36,274.076
37,273.932
38,273.965
39,273.929
40,273.933
41,273.664
42,273.917
43,274.127
44,274.018
45,274.089
46,273.571
47,273.791
48,273.330
49,273.808
50,273.366
